Copyright Central Council of Church Bell Ringers, December 2011
Doubles principles (2 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	RW ref

17225	Original	5.1	24153	1957-02-02	Purleigh	57/102

Doubles principles (4 changes per lead)

No.	Name	Notation	lh	RW ref

17226	Tendring	123.1.123.5	31524	
17227	What you Please	125.3.125.1	25134	
17228	Reverse Paradox	125.5.125.1	24153	
17229	Paradox	145.1.145.5	31524	
17230	Phoenix	145.3.145.5	23514	
17231	Saturn	3.5.3.1	25134	58/256
17232	Reverse Tendring	345.5.345.1	24153	
17233	Titanic	5.1.5.3	24531	89/1027

Doubles principles (5 changes per lead)

No.	Name	Notation	lh	RW ref

17234	Cactus	5.1.3.5.1	23451	11/1223

Doubles principles (6 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	RW ref

17235	Reverse Erin	1.3.5.3.5.3	31524			
17236	Ocean Finance	3.5.123.1.3.123	51234			08/598
17237	Cucumber	5.1.125.145.5.1	51234			09/710
17238	Vegetarian Sausage	5.1.345.123.5.1	23451			94/1175
17239	Erin	5.3.1.3.1.3	24153	1957-11-23	Shepperton	57/801
17240	Earin	5.345.1.3.145.3	24153			08/1051

Doubles principles (8 changes per lead)

No.	Name	Notation	lh	RW ref

17241	Banana	3.125.3.125.3.145.3.145	41253	09/710

Doubles principles (12 changes per lead)

No.	Name	Notation	lh	Tower bells	Place	Handbells	RW ref
17311	Woodford	5.1.3.123.3.1.3.1.3.123.3.1.5.3.1.123.1.3.1.3.1.123.1.3	25134				84/879
17312	Gayton	5.1.3.145.3.1.3.1.3.145.3.1.5.3.1.123.1.3.1.3.1.123.1.3	25134				84/879
17313	Charwelton	5.1.3.145.3.1.3.1.3.145.3.1.5.345.1.123.1.345.1.345.1.123.1.345	25134				84/879
17314	Great Burstead	5.1.345.1.3.1.3.1.345.1.3.1.5.3.145.3.1.3.1.3.145.3.1.3	25134				11/60
17315	Horndon-on-the Hill	5.1.345.1.345.145.3.1.345.1.345.145.5.3.145.3.145.345.1.3.145.3.145.345	25134				11/60
17316	Thenford	5.1.345.123.345.1.3.1.345.123.345.1.5.3.145.123.145.3.1.3.145.123.145.3	25134				84/879
17317	Aveley	5.1.345.145.3.145.3.1.345.145.3.145.5.3.145.345.1.345.1.3.145.345.1.345	25134				11/60
17318	Eydon	5.1.345.145.345.1.3.1.345.145.345.1.5.3.145.345.145.3.1.3.145.345.145.3	25134				84/879
17319	Stanley Common	5.1.345.145.345.1.3.1.345.145.345.1.5.3.145.345.145.3.5.3.145.345.145.3	54213				08/289
17320	Buckland	5.123.1.123.3.123.1.123.345.123.145.123.5.123.3.123.1.123.3.123.145.123.345.123	25134				08/289
17321	Chipping	5.123.1.123.3.123.145.123.3.123.145.123.5.123.3.123.1.123.345.123.1.123.345.123	25134				08/289
17322	Fairlands Valley	5.123.1.123.3.123.145.123.345.123.1.123.5.123.3.123.1.123.345.123.145.123.3.123	25134				08/289
17323	Dane End	5.123.1.123.345.123.1.123.3.123.145.123.5.123.3.123.145.123.3.123.1.123.345.123	25134				08/289
17324	Ickleford	5.123.1.123.345.123.145.123.3.123.1.123.5.123.3.123.145.123.345.123.1.123.3.123	25134				08/289
17325	Luffenhall	5.123.1.123.345.123.145.123.345.123.145.123.5.123.3.123.145.123.345.123.145.123.345.123	25134				08/289
17326	Blackmore End	5.123.1.3.345.3.1.3.345.3.1.123.5.123.3.1.145.1.3.1.145.1.3.123	25134				08/289
17327	Beazley End	5.123.1.345.3.345.1.345.3.345.1.123.5.123.3.145.1.145.3.145.1.145.3.123	25134				08/289
17328	Eastwick	5.123.145.123.3.123.1.123.3.123.145.123.5.123.345.123.1.123.3.123.1.123.345.123	25134				08/289
17329	Haultwick	5.123.145.123.3.123.1.123.345.123.1.123.5.123.345.123.1.123.3.123.145.123.3.123	25134				08/289
17330	Gosmore	5.123.145.123.3.123.145.123.3.123.1.123.5.123.345.123.1.123.345.123.1.123.3.123	25134				08/289
17331	Meesden	5.123.145.123.3.123.145.123.345.123.145.123.5.123.345.123.1.123.345.123.145.123.345.123	25134				08/289
17332	Kelshall	5.123.145.123.345.123.1.123.3.123.1.123.5.123.345.123.145.123.3.123.1.123.3.123	25134				08/289
17333	Nuthampstead	5.123.145.123.345.123.1.123.345.123.145.123.5.123.345.123.145.123.3.123.145.123.345.123	25134				08/289
17334	Odsey	5.123.145.123.345.123.145.123.3.123.145.123.5.123.345.123.145.123.345.123.1.123.345.123	25134				08/289
17335	Panshanger	5.123.145.123.345.123.145.123.345.123.1.123.5.123.345.123.145.123.345.123.145.123.3.123	25134				08/289
17336	Rotten End	5.123.145.3.345.3.1.3.345.3.145.123.5.123.345.1.145.1.3.1.145.1.345.123	25134				08/289
17337	Cornish Hall End	5.123.145.345.3.345.1.345.3.345.145.123.5.123.345.145.1.145.3.145.1.145.345.123	25134				08/289
17338	Celery City	5.123.5.123.5.1.5.1.5.123.5.1.5.1.5.1.5.123.5.123.5.123.5.1	24531				
17339	White's "No Call"	5.123.5.123.5.123.5.1.5.1.5.1.5.123.5.1.5.1.5.123.5.123.5.1	45123				85/29
17340	Weag's Bridge	5.145.1.145.3.123.1.123.3.145.1.145.5.345.3.345.1.123.3.123.1.345.3.345	25134				08/289
17341	Tuppenhurst	5.145.1.145.3.145.1.145.3.145.1.145.5.345.3.345.1.345.3.345.1.345.3.345	25134				08/289
17342	Swarkstone Bridge	5.145.1.145.345.123.1.123.345.145.1.145.5.345.3.345.145.123.3.123.145.345.3.345	25134				08/289
17343	Hawksyard	5.145.1.145.345.145.1.145.345.145.1.145.5.345.3.345.145.345.3.345.145.345.3.345	25134				08/289
17344	Laindon	5.145.3.1.3.1.3.145.3.1.3.1.5.345.1.3.1.3.1.345.1.3.1.3	25134				11/60
17345	Maidford	5.145.3.123.3.145.3.145.3.123.3.145.5.345.1.123.1.345.1.345.1.123.1.345	25134				84/879
17346	Norton	5.145.3.145.3.145.3.145.3.145.3.145.5.3.1.123.1.3.1.3.1.123.1.3	25134				84/879
17347	Staverton	5.145.3.145.3.145.3.145.3.145.3.145.5.3.145.123.145.3.1.3.145.123.145.3	25134				84/879
17348	Welton	5.145.3.145.3.145.3.145.3.145.3.145.5.345.1.123.1.345.1.345.1.123.1.345	25134				84/879
17349	Helmdon	5.145.3.145.3.145.3.145.3.145.3.145.5.345.1.345.1.345.1.345.1.345.1.345	25134				84/879
17350	Oakwood	5.145.3.145.3.145.3.145.3.145.3.145.5.345.1.345.1.345.5.345.1.345.1.345	54213				08/289
17351	Elvaston	5.145.3.145.345.1.3.145.3.145.345.1.5.345.1.345.145.3.1.345.1.345.145.3	25134				08/289
17352	Draycott	5.145.3.145.345.1.3.145.3.145.345.1.5.345.1.345.145.3.5.345.1.345.145.3	54213				08/289
17353	Alvaston	5.145.345.1.345.1.3.145.345.1.345.1.5.345.145.3.145.3.1.345.145.3.145.3	25134				08/289
17354	Borrowash	5.145.345.1.345.1.3.145.345.1.345.1.5.345.145.3.145.3.5.345.145.3.145.3	54213				08/289

