#t   #theta   #omega   #xddot    #yddot
3.89 0.00411268 7.82777 -0.0529532 -2.44487
3.9 0.0823672 7.82114 -1.05933 -2.45731
3.91 0.160496 7.80258 -2.05762 -2.49212
3.92 0.238379 7.77221 -3.0403 -2.54887
3.93 0.315901 7.73028 -4.00011 -2.62687
3.94 0.392947 7.67709 -4.93024 -2.72522
3.95 0.469407 7.61304 -5.82438 -2.84274
3.96 0.545173 7.53858 -6.67687 -2.97812
3.97 0.620146 7.45425 -7.48272 -3.12984
3.98 0.694227 7.36062 -8.23772 -3.29629
3.99 0.767329 7.25833 -8.93846 -3.47574
4 0.839367 7.14803 -9.58231 -3.66643
4.01 0.910265 7.03041 -10.1674 -3.86654
4.02 0.979953 6.90618 -10.6928 -4.0743
4.03 1.04837 6.77606 -11.1582 -4.28795
4.04 1.11546 6.64075 -11.5638 -4.5058
4.05 1.18117 6.50096 -11.9106 -4.72624
4.06 1.24546 6.35739 -12.2002 -4.94777
4.07 1.30831 6.2107 -12.4346 -5.169
4.08 1.36967 6.06154 -12.6161 -5.38867
4.09 1.42953 5.91052 -12.7474 -5.60564
4.1 1.48788 5.75822 -12.8314 -5.81889
4.11 1.54469 5.60518 -12.8712 -6.02757
4.12 1.59998 5.45192 -12.8701 -6.23093
4.13 1.65373 5.2989 -12.8314 -6.42834
4.14 1.70596 5.14655 -12.7582 -6.6193
4.15 1.75667 4.99526 -12.6539 -6.80343
4.16 1.80587 4.84538 -12.5215 -6.98042
4.17 1.85358 4.69722 -12.3642 -7.15007
4.18 1.89982 4.55108 -12.185 -7.31226
4.19 1.94461 4.40718 -11.9865 -7.46695
4.2 1.98797 4.26575 -11.7714 -7.61414
4.21 2.02993 4.12697 -11.5422 -7.75392
4.22 2.07052 3.99099 -11.3011 -7.88638
4.23 2.10976 3.85793 -11.0504 -8.0117
4.24 2.14769 3.72791 -10.7919 -8.13006
4.25 2.18433 3.60101 -10.5273 -8.24167
4.26 2.21972 3.47728 -10.2585 -8.34676
4.27 2.25389 3.35677 -9.98666 -8.44559
