#t   #theta   #omega   #xddot    #yddot
5.03 3.08198 0.127038 -1.04102 -9.80064
5.04 3.08321 0.118001 -1.01965 -9.80025
5.05 3.08434 0.109144 -0.999844 -9.79988
5.06 3.08539 0.100455 -0.981563 -9.79956
5.07 3.08635 0.0919196 -0.964783 -9.79926
5.08 3.08723 0.0835247 -0.949479 -9.799
5.09 3.08802 0.0752578 -0.935629 -9.79876
5.1 3.08873 0.067106 -0.923209 -9.79855
5.11 3.08937 0.059057 -0.912203 -9.79837
5.12 3.08992 0.0510984 -0.902593 -9.79821
5.13 3.09039 0.043218 -0.894365 -9.79808
5.14 3.09078 0.0354038 -0.887505 -9.79797
5.15 3.0911 0.0276437 -0.882004 -9.79788
5.16 3.09133 0.019926 -0.877854 -9.79781
5.17 3.09149 0.0122389 -0.875048 -9.79777
5.18 3.09158 0.00457042 -0.873581 -9.79774
5.19 3.09159 -0.00309103 -0.873452 -9.79774
5.2 3.09152 -0.0107572 -0.87466 -9.79776
5.21 3.09137 -0.0184399 -0.877208 -9.7978
5.22 3.09115 -0.0261507 -0.881098 -9.79786
5.23 3.09085 -0.0339017 -0.886338 -9.79795
5.24 3.09047 -0.0417045 -0.892934 -9.79805
