#t   #theta   #omega   #xddot    #yddot
2.98 -3.02239 0.423344 1.74987 -9.79774
2.99 -3.01807 0.441898 1.81305 -9.79774
3 -3.01355 0.461125 1.87896 -9.79774
3.01 -3.00884 0.481053 1.94768 -9.79774
3.02 -3.00393 0.501712 2.01932 -9.79774
3.03 -2.99881 0.523133 2.09398 -9.79774
3.04 -2.99346 0.545347 2.17175 -9.79774
3.05 -2.9879 0.568389 2.25275 -9.79774
3.06 -2.98209 0.592291 2.33709 -9.79774
3.07 -2.97605 0.61709 2.42489 -9.79774
3.08 -2.96975 0.642822 2.51626 -9.79774
3.09 -2.96319 0.669525 2.61133 -9.79774
3.1 -2.95635 0.697238 2.71022 -9.79774
3.11 -2.94924 0.726002 2.81306 -9.79774
3.12 -2.94183 0.755858 2.91998 -9.79774
3.13 -2.93412 0.786849 3.03113 -9.79774
3.14 -2.92609 0.819021 3.14663 -9.79774
3.15 -2.91773 0.85242 3.26664 -9.79774
3.16 -2.90904 0.887092 3.39129 -9.79774
3.17 -2.89999 0.923088 3.52073 -9.79774
3.18 -2.89057 0.960458 3.65511 -9.79774
3.19 -2.88077 0.999254 3.79458 -9.79774
3.2 -2.87058 1.03953 3.9393 -9.79774
3.21 -2.85998 1.08134 4.0894 -9.79774
3.22 -2.84895 1.12475 4.24505 -9.79774
3.23 -2.83748 1.1698 4.40639 -9.79774
3.24 -2.82555 1.21657 4.57357 -9.79774
3.25 -2.81314 1.2651 4.74674 -9.79774
3.26 -2.80024 1.31548 4.92604 -9.79774
3.27 -2.78682 1.36775 5.11159 -9.79774
3.28 -2.77288 1.42199 5.30354 -9.79774
3.29 -2.75838 1.47826 5.502 -9.79774
3.3 -2.74331 1.53664 5.70707 -9.79774
3.31 -2.72764 1.59718 5.91886 -9.79774
3.32 -2.71135 1.65997 6.13745 -9.79774
3.33 -2.69443 1.72507 6.36289 -9.79774
3.34 -2.67684 1.79256 6.59523 -9.79774
3.35 -2.65857 1.8625 6.83448 -9.79774
3.36 -2.63959 1.93497 7.08064 -9.79774
3.37 -2.61986 2.01003 7.33366 -9.79774
3.38 -2.59938 2.08777 7.59346 -9.79774
3.39 -2.5781 2.16825 7.85992 -9.79774
3.4 -2.556 2.25154 8.13286 -9.79774
3.41 -2.53306 2.33771 8.41206 -9.79774
3.42 -2.50924 2.42682 8.69724 -9.79774
3.43 -2.48451 2.51892 8.98804 -9.79774
