#t   #theta   #omega   #xddot    #yddot
2.58 -3.09153 -0.00995061 0.682699 -9.79773
2.59 -3.09159 -0.0022855 0.681865 -9.79774
2.6 -3.09157 0.00537612 0.682076 -9.79774
2.61 -3.09148 0.013046 0.683331 -9.79773
2.62 -3.09131 0.0207358 0.685632 -9.79771
2.63 -3.09107 0.0284574 0.688983 -9.79768
2.64 -3.09074 0.0362225 0.693388 -9.79765
2.65 -3.09034 0.0440431 0.698855 -9.7976
2.66 -3.08986 0.0519311 0.705392 -9.79755
2.67 -3.0893 0.0598986 0.713009 -9.79749
2.68 -3.08866 0.0679579 0.721717 -9.79742
2.69 -3.08794 0.0761211 0.731529 -9.79733
2.7 -3.08714 0.0844009 0.742461 -9.79724
2.71 -3.08626 0.0928099 0.754529 -9.79714
2.72 -3.08528 0.101361 0.767751 -9.79702
2.73 -3.08423 0.110067 0.782147 -9.79689
2.74 -3.08308 0.118942 0.79774 -9.79675
2.75 -3.08185 0.127998 0.814552 -9.79659
2.76 -3.08052 0.137251 0.83261 -9.79642
2.77 -3.0791 0.146714 0.851939 -9.79623
2.78 -3.07759 0.156401 0.872571 -9.79603
2.79 -3.07597 0.166327 0.894535 -9.7958
2.8 -3.07426 0.176508 0.917865 -9.79556
2.81 -3.07244 0.186958 0.942597 -9.79529
2.82 -3.07052 0.197695 0.968766 -9.795
2.83 -3.06849 0.208734 0.996413 -9.79469
2.84 -3.06634 0.220092 1.02558 -9.79435
2.85 -3.06408 0.231786 1.05631 -9.79398
2.86 -3.06171 0.243835 1.08865 -9.79358
2.87 -3.05921 0.256257 1.12264 -9.79314
2.88 -3.05658 0.269069 1.15834 -9.79267
2.89 -3.05382 0.282293 1.19581 -9.79216
2.9 -3.05093 0.295948 1.23509 -9.79161
2.91 -3.0479 0.310055 1.27624 -9.79101
2.92 -3.04473 0.324635 1.31933 -9.79036
2.93 -3.04141 0.339711 1.36442 -9.78966
2.94 -3.03793 0.355304 1.41158 -9.7889
2.95 -3.0343 0.371439 1.46087 -9.78808
2.96 -3.0305 0.388141 1.51236 -9.78719
2.97 -3.02654 0.405434 1.56614 -9.78623
2.98 -3.02239 0.423344 1.62228 -9.78519
2.99 -3.01807 0.441898 1.68085 -9.78407
3 -3.01355 0.461125 1.74195 -9.78286
3.01 -3.00884 0.481053 1.80567 -9.78154
3.02 -3.00393 0.501712 1.87208 -9.78012
3.03 -2.99881 0.523133 1.94129 -9.77858
3.04 -2.99346 0.545347 2.01339 -9.77692
3.05 -2.9879 0.568389 2.08849 -9.77513
3.06 -2.98209 0.592291 2.16668 -9.77318
3.07 -2.97605 0.61709 2.24807 -9.77108
